City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,invercargill,-46.4,168.35,12.23,74,100,2.24,NZ,1730235395
83,sitka,57.0531,-135.33,5.39,92,100,5.2,US,1730235585
84,enewetak,11.3474,162.3373,28.85,74,80,6.01,MH,1730235586
85,hadibu,12.65,54.0333,25.95,64,0,1.61,YE,1730235587
86,thompson,55.7435,-97.8558,3.09,60,75,4.63,CA,1730235588
87,taltal,-25.4,-70.4833,18.73,70,23,2.85,CL,1730235589
88,bamboo flat,11.7,92.7167,26.17,81,17,1.79,IN,1730235591
89,hasaki,35.7333,140.8333,19.75,95,100,7.35,JP,1730235592
90,yellowknife,62.456,-114.3525,-6.99,96,75,5.14,CA,1730235593
91,wicklow,53.0,-6.4167,8.36,90,59,0.88,IE,1730235594
92,punta del este,-34.9667,-54.95,28.06,85,20,4.63,UY,1730235461
93,shubarkuduk,49.1447,56.4872,0.55,63,6,1.79,KZ,1730235596
94,uturoa,-16.7333,-151.4333,25.2,68,85,7.66,PF,1730235597
95,georgetown,5.4112,100.3354,26.96,87,20,1.54,MY,1730235599
96,ponta delgada,37.7333,-25.6667,18.44,88,40,3.6,PT,1730235600
97,zolochiv,49.806,24.8944,10.53,98,100,2.3,UA,1730235601
98,san antonio de pale,-1.4014,5.6325,25.51,83,97,5.01,GQ,1730235358
99,codrington,-38.2667,141.9667,11.22,83,73,2.45,AU,1730235603
100,kingston,17.997,-76.7936,32.53,66,40,8.75,JM,1730235604
101,kupang,-10.1667,123.5833,29.32,74,75,2.57,ID,1730235606
102,lihue,21.9789,-159.3672,27.63,87,40,6.17,US,1730235607
103,hithadhoo,-0.6,73.0833,27.85,74,90,4.64,MV,1730235396
104,bardai,11.65,7.2333,24.06,30,100,3.06,NG,1730235609
105,papatowai,-46.5619,169.4708,11.16,67,100,6.3,NZ,1730235610
106,whitehorse,60.7161,-135.0538,-0.55,92,100,9.39,CA,1730235611
107,nizhneudinsk,54.9076,99.0276,-0.15,84,93,2.04,RU,1730235612
108,pisco,-13.7,-76.2167,22.03,64,0,10.29,PE,1730235613
109,ebon,4.582,168.6964,28.01,74,93,4.66,MH,1730235402
110,vilyuchinsk,52.9306,158.4028,4.15,71,92,21.88,RU,1730235616
111,kaoma,-14.7833,24.8,24.15,43,73,2.12,ZM,1730235617
112,isafjordur,66.0755,-23.124,0.08,91,98,2.47,IS,1730235618
113,fortuna,40.5982,-124.1573,15.52,61,0,5.14,US,1730235619
114,puerto leguizamo,-0.1934,-74.7819,28.18,62,99,2.43,CO,1730235620
115,mankono,8.0586,-6.1897,24.12,83,82,1.5,CI,1730235621
116,nar'yan-mar,67.6713,53.087,0.66,89,100,5.73,RU,1730235623
117,rawson,-43.3002,-65.1023,32.16,6,0,4.12,AR,1730235624
118,amga,60.8953,131.9608,-16.46,98,99,0.9,RU,1730235625
119,la passe,45.5549,-0.8967,14.95,90,0,4.1,FR,1730235626
120,sinop,41.7711,34.8709,9.26,93,53,1.46,TR,1730235627
121,mana,5.6592,-53.7767,27.47,76,100,4.49,GF,1730235628
122,iskateley,67.6803,53.1512,0.64,89,100,5.78,RU,1730235629
123,kovylkino,54.0388,43.9139,5.01,84,75,4.89,RU,1730235631
124,weno,7.4515,151.8468,28.5,75,38,4.38,FM,1730235632
125,puerto colombia,10.9878,-74.9547,32.05,75,100,3.17,CO,1730235633
126,de queen,34.0379,-94.3413,28.9,29,7,6.01,US,1730235634
127,new norfolk,-42.7826,147.0587,11.51,69,100,1.59,AU,1730235635
128,hermanus,-34.4187,19.2345,15.45,86,0,2.99,ZA,1730235636
129,newnham,-41.3833,147.1333,8.53,87,100,2.57,AU,1730235637
130,khamis mushait,18.3064,42.7292,18.34,68,0,4.12,SA,1730235639
131,xudat,41.631,48.681,9.39,77,5,1.68,AZ,1730235640
132,tolanaro,-25.0319,46.9987,25.04,83,40,11.83,MG,1730235641
133,mbaiki,3.8678,17.9892,21.47,98,47,1.18,CF,1730235642
134,hawaiian paradise park,19.5933,-154.9731,27.16,79,75,1.54,US,1730235526
